"Keyword","Path","LineNumber","Line"
"moderator","C:\GeoHistory\frontend\src\lib\postLoginRedirect.ts","33","  moderator: ""/moderator/home"","
"moderator","C:\GeoHistory\frontend\src\config\persona-landing.config.json","45","    ""moderator"": {"
"moderator","C:\GeoHistory\frontend\src\config\persona-landing.config.json","46","      ""label_it"": ""Moderatore"","
"admin","C:\GeoHistory\frontend\src\components\DashboardShell.tsx","10","type Role = ""student"" | ""researcher"" | ""enthusiast"" | ""moderator"" | ""admin"";"
"admin","C:\GeoHistory\frontend\src\components\DashboardShell.tsx","15","  showOldMap?: boolean; // solo Admin"
"admin","C:\GeoHistory\frontend\src\components\DashboardShell.tsx","67","            {/* Solo Admin → Old Map */}"
"admin","C:\GeoHistory\frontend\src\components\RoleBadge.tsx","4","type Role = ""student"" | ""researcher"" | ""enthusiast"" | ""moderator"" | ""admin"";"
"admin","C:\GeoHistory\frontend\src\components\RoleBadge.tsx","11","  admin:       { emoji: ""⚙️"", color: ""bg-indigo-900"",  label: ""Admin"" },"
"admin","C:\GeoHistory\frontend\src\lib\postLoginRedirect.ts","34","  admin: ""/admin/home"","
"admin","C:\GeoHistory\frontend\src\config\persona-landing.config.json","54","        ""followup"":        { ""mod_report"": true, ""guidelines"": true, ""assign_to_admin"": true }"
"admin","C:\GeoHistory\frontend\src\config\persona-landing.config.json","57","    ""admin"": {"
"admin","C:\GeoHistory\frontend\src\config\persona-landing.config.json","58","      ""label_it"": ""Admin"","
"admin","C:\GeoHistory\frontend\src\config\persona-landing.config.json","62","        ""evento_singolo"":  { ""card"": ""admin"", ""history"": true, ""permissions"": true },"
"explorer","C:\GeoHistory\frontend\src\components\DashboardShell.tsx","70","                href=""/explorer/old-map"""
"explorer","C:\GeoHistory\frontend\src\lib\postLoginRedirect.ts","64","  const fb = code && FALLBACK_BY_CODE[code] ? FALLBACK_BY_CODE[code] : ""/explorer"";"
